concurrency,request_rate,input_tokens,target_input_tokens,user_content_tokens,final_prompt_tokens,actual_prompt_tokens,prompt_tokens,max_tokens,server_max_tokens,output_tokens,success_count,fail_count,avg_ttft,avg_tpot,avg_latency,output_tokens_per_s,total_tokens_per_s,request_throughput,peak_output_tokens_per_s,peak_concurrent_requests,avg_concurrency,ttft_p50,ttft_p99,latency_p50,latency_p99,tpot_p50,tpot_p99,elapsed_s,host,model,client_cpu_bottleneck
16,1.0,1105656,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,101656,184,0,0.4854434062321873,0.04143544852546684,23.09852447046939,339.06128312317185,4026.843037794157,0.6137097278533842,2475,16,14.175789166586503,0.38583300448954105,3.7931739162467304,26.606468978337944,28.558538718093175,0.040201540628052576,0.0626947281705072,299.81600689888,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,2.0,1177764,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,108890,196,0,0.4138142441266349,0.04072307161872201,22.722295464558186,363.0757341334576,4290.135417630176,0.6535296527702975,1971,16,14.849693865096818,0.38700266648083925,0.776954324170948,26.62155672814697,26.803195655532182,0.039333518629751305,0.05999042884068998,299.909880399704,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,4.0,414621,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,38852,69,0,0.7088547416463278,0.04067990697078193,23.328503625899337,129.57735761840192,1512.4017577290633,0.23012554503422558,2396,16,5.368484611742993,0.39520569518208504,2.000480654537678,26.64345720037818,28.273111598342656,0.0395959289935864,0.059202617841860074,299.83633494377136,http://10.10.240.13:8000,DeepSeek-R1-0528,false
32,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.82859444618225,http://10.10.240.13:8000,DeepSeek-R1-0528,false
32,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.8297393321991,http://10.10.240.13:8000,DeepSeek-R1-0528,false
32,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.90570974349976,http://10.10.240.13:8000,DeepSeek-R1-0528,false
64,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.7989573478699,http://10.10.240.13:8000,DeepSeek-R1-0528,false
64,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.28808212280273,http://10.10.240.13:8000,DeepSeek-R1-0528,false
