concurrency,request_rate,input_tokens,target_input_tokens,user_content_tokens,final_prompt_tokens,actual_prompt_tokens,prompt_tokens,max_tokens,server_max_tokens,output_tokens,success_count,fail_count,avg_ttft,avg_tpot,avg_latency,output_tokens_per_s,total_tokens_per_s,request_throughput,peak_output_tokens_per_s,peak_concurrent_requests,avg_concurrency,ttft_p50,ttft_p99,latency_p50,latency_p99,tpot_p50,tpot_p99,elapsed_s,host,model,client_cpu_bottleneck
69,1.0,1616421,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,150688,269,0,0.46216530566100295,0.04750061221113396,26.687113151958275,502.6209291905646,5894.205030002451,0.8972514729259256,2049,30,23.945051583735403,0.4004999194294214,1.8064304338395525,30.88297634012997,31.230967433974143,0.04554738350148206,0.07590265884176634,299.8044674396515,http://10.10.240.13:8000,DeepSeek-R1-0528,false
69,2.0,2980464,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,272904,496,0,0.5504447648474466,0.06166774615413267,34.168407558662544,910.228238577408,10851.095711620588,1.6543297508808752,2770,69,56.525813164518425,0.4496604399755597,2.724108433257789,38.870032500475645,42.314298670645805,0.06013608763426011,0.09446084222139597,299.8193073272705,http://10.10.240.13:8000,DeepSeek-R1-0528,false
69,4.0,3028536,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,280092,504,0,1.2011200388272603,0.06478261964589628,36.62572984487587,933.688801033797,11029.336469398802,1.680087813007989,4077,69,61.534442354898935,0.5596802430227399,5.521337182223796,42.07130520325154,47.01394572706893,0.06233321610598014,0.09814344903544812,299.9843199253082,http://10.10.240.13:8000,DeepSeek-R1-0528,false
128,1.0,378567,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,35323,63,2,1.0953254714489928,0.04729199533869329,27.20643693329914,117.81381875456889,1380.459231784631,0.21012571360127508,2044,128,5.7167719751575685,0.40347205474972725,7.6353655000776115,31.002763349562883,33.93229438316078,0.04557503644067473,0.07342000691489509,299.8205165863037,http://10.10.240.13:8000,DeepSeek-R1-0528,false
128,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.8048300743103,http://10.10.240.13:8000,DeepSeek-R1-0528,false
128,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.82714319229126,http://10.10.240.13:8000,DeepSeek-R1-0528,false
