concurrency,request_rate,input_tokens,target_input_tokens,user_content_tokens,final_prompt_tokens,actual_prompt_tokens,prompt_tokens,max_tokens,server_max_tokens,output_tokens,success_count,fail_count,avg_ttft,avg_tpot,avg_latency,output_tokens_per_s,total_tokens_per_s,request_throughput,peak_output_tokens_per_s,peak_concurrent_requests,avg_concurrency,ttft_p50,ttft_p99,latency_p50,latency_p99,tpot_p50,tpot_p99,elapsed_s,host,model,client_cpu_bottleneck
16,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0314974784851,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,1.0,172387,4000.0,4000.0,4009.0,4009.0,4009.0,1000.0,8192.0,24571,43,0,0.5079060145328904,0.04504164946570137,25.620845110783744,81.60153382206217,654.1074803030288,0.14280517497654444,1209,4,3.658789269092415,0.30354554019868374,3.3896399922668916,28.87575970776379,30.482908668965095,0.04144411485153015,0.07022489788322724,301.1095361709595,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,1.0,272612,4000.0,4000.0,4009.0,4009.0,4009.0,1000.0,8192.0,36658,68,0,0.4608190889360712,0.04553119613046192,24.5313039120725,121.73775174154218,1027.056426458256,0.22582157014634918,2036,6,5.53969756716149,0.30725710932165384,3.314470453690737,28.830617756582797,30.398958714380857,0.04328123897207152,0.07254944989352241,301.12269592285156,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,1.0,216486,4000.0,4000.0,4009.0,4009.0,4009.0,1000.0,8192.0,30517,54,0,0.4942339235502813,0.04497442424968674,25.37167358926187,101.34371643024767,820.2707339981147,0.1793282657939304,1196,5,4.549858225051997,0.29887521266937256,3.4084173278324297,28.885733854025602,30.362520506121214,0.04336146229854401,0.06737404964816841,301.1237506866455,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,1.0,216486,4000.0,4000.0,4009.0,4009.0,4009.0,1000.0,8192.0,30092,54,0,0.5103229250482939,0.044822106747931016,24.995217043768477,99.93138535646801,818.851559830758,0.17932655886113494,1317,5,4.482306260446191,0.3050486845895648,3.6359372409433117,28.885703508742154,30.589854673389343,0.043174822875934785,0.07381425354203211,301.12661695480347,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.873056888580322,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.110627889633179,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.14918565750122,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17751431465149,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1825692653656,http://10.10.240.13:8000,DeepSeek-R1-0528,false
