concurrency,request_rate,input_tokens,target_input_tokens,user_content_tokens,final_prompt_tokens,actual_prompt_tokens,prompt_tokens,max_tokens,server_max_tokens,output_tokens,success_count,fail_count,avg_ttft,avg_tpot,avg_latency,output_tokens_per_s,total_tokens_per_s,request_throughput,peak_output_tokens_per_s,peak_concurrent_requests,avg_concurrency,ttft_p50,ttft_p99,latency_p50,latency_p99,tpot_p50,tpot_p99,elapsed_s,host,model,client_cpu_bottleneck
96,1.0,1616421,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,152341,269,0,0.6418572915821824,0.04791407957361058,27.396924878744112,508.04660145898805,5898.697808796073,0.897096223554183,4000,32,24.577677845718984,0.4056797083467245,6.460876430422048,31.057798417285085,34.89522868141532,0.046281331885501605,0.07811272052198218,299.8563508987427,http://10.10.240.13:8000,DeepSeek-R1-0528,false
96,2.0,3124680,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,286594,520,0,0.6619547789773116,0.06405146860961798,35.55522772411171,954.3726329822177,11359.716355554483,1.7316265139910578,2511,79,61.568375038061774,0.4482897501438856,4.7404259332828085,40.94587558042258,42.866479096766554,0.06212482203284787,0.09480372741019322,300.2957022190094,http://10.10.240.13:8000,DeepSeek-R1-0528,false
96,4.0,3995985,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,362853,665,0,1.6865484156358734,0.06671030773003037,37.66437479581096,1209.3993607622654,14528.13092592943,2.216463898347007,4486,96,83.48172698872591,0.7578332833945751,7.6072803057730205,43.85280167683959,50.9525596255809,0.06458523437858249,0.09739394526886855,300.02744483947754,http://10.10.240.13:8000,DeepSeek-R1-0528,false
128,1.0,1610412,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,153321,268,0,0.7637978422997603,0.047679642742436606,27.612255281157125,511.4660729430565,5883.666237697875,0.8940256556423395,2112,34,24.68606463150015,0.4051101692020893,8.954943711869415,31.030584232881665,36.949355122335234,0.04649822362416396,0.07102733048209768,299.76768374443054,http://10.10.240.13:8000,DeepSeek-R1-0528,false
128,2.0,3124680,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,286459,520,0,0.8803116105855084,0.06543499150037717,36.48325847633756,955.4502191090987,11377.451938886863,1.7343986885967322,2750,81,63.27651565709548,0.4539199573919177,7.416305262073861,42.94665842037648,43.65761201327666,0.06370113154977336,0.09254217083503807,299.8157248497009,http://10.10.240.13:8000,DeepSeek-R1-0528,false
128,4.0,4915362,6000.0,6000.0,6009.0,6009.0,6009.0,1000.0,8192.0,450855,818,0,2.5840761043190557,0.06831830754085455,39.74557549871213,1503.7537392528407,17898.14658680099,2.728306348402089,4398,128,108.43810595403082,1.0114030130207539,11.955179824139954,45.19736882764846,55.69949158506468,0.06616052999166763,0.10025897727228467,299.8197033405304,http://10.10.240.13:8000,DeepSeek-R1-0528,false
